Model,MSO44B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,125000
Zero Index,62499.00000000
Vertical Units,A
ANALOG_Thumbnail,
yOffset,0.00000000e+00
yPosition,-1.10000000e+00

Labels,
TIME,CH3
-9.94656000e-06,-3.30000000e-02
-9.94640000e-06,-3.30000000e-02
-9.94624000e-06,-3.30000000e-02
-9.94608000e-06,-3.30000000e-02
-9.94592000e-06,-3.30000000e-02
-9.94576000e-06,-3.10000000e-02
-9.94560000e-06,-3.10000000e-02
-9.94544000e-06,-3.10000000e-02
-9.94528000e-06,-2.90000000e-02
-9.94512000e-06,-2.90000000e-02
-9.94496000e-06,-2.90000000e-02
-9.94480000e-06,-2.90000000e-02
-9.94464000e-06,-2.90000000e-02
-9.94448000e-06,-2.90000000e-02
-9.94432000e-06,-2.90000000e-02
-9.94416000e-06,-2.90000000e-02
-9.94400000e-06,-2.90000000e-02
-9.94384000e-06,-2.90000000e-02
-9.94368000e-06,-2.90000000e-02
-9.94352000e-06,-2.90000000e-02
-9.94336000e-06,-2.90000000e-02
-9.94320000e-06,-2.90000000e-02
-9.94304000e-06,-2.90000000e-02
-9.94288000e-06,-2.90000000e-02
-9.94272000e-06,-2.90000000e-02
-9.94256000e-06,-2.90000000e-02
-9.94240000e-06,-2.90000000e-02
-9.94224000e-06,-2.70000000e-02
-9.94208000e-06,-2.70000000e-02
-9.94192000e-06,-2.70000000e-02
-9.94176000e-06,-2.70000000e-02
-9.94160000e-06,-2.70000000e-02
-9.94144000e-06,-2.70000000e-02
-9.94128000e-06,-2.50000000e-02
-9.94112000e-06,-2.50000000e-02
-9.94096000e-06,-2.50000000e-02
-9.94080000e-06,-2.50000000e-02
-9.94064000e-06,-2.50000000e-02
-9.94048000e-06,-2.50000000e-02
-9.94032000e-06,-2.70000000e-02
-9.94016000e-06,-2.70000000e-02
-9.94000000e-06,-2.70000000e-02
-9.93984000e-06,-2.70000000e-02
-9.93968000e-06,-2.70000000e-02
-9.93952000e-06,-2.70000000e-02
-9.93936000e-06,-2.90000000e-02
-9.93920000e-06,-2.90000000e-02
-9.93904000e-06,-2.90000000e-02
-9.93888000e-06,-2.90000000e-02
-9.93872000e-06,-2.90000000e-02
-9.93856000e-06,-2.90000000e-02
-9.93840000e-06,-2.90000000e-02
-9.93824000e-06,-2.90000000e-02
-9.93808000e-06,-2.90000000e-02
-9.93792000e-06,-2.90000000e-02
-9.93776000e-06,-2.90000000e-02
-9.93760000e-06,-2.90000000e-02
-9.93744000e-06,-2.90000000e-02
-9.93728000e-06,-2.90000000e-02
-9.93712000e-06,-2.90000000e-02
-9.93696000e-06,-2.90000000e-02
-9.93680000e-06,-2.90000000e-02
-9.93664000e-06,-2.90000000e-02
-9.93648000e-06,-2.90000000e-02
-9.93632000e-06,-2.90000000e-02
-9.93616000e-06,-2.90000000e-02
-9.93600000e-06,-2.90000000e-02
-9.93584000e-06,-2.90000000e-02
-9.93568000e-06,-2.90000000e-02
-9.93552000e-06,-2.90000000e-02
-9.93536000e-06,-2.90000000e-02
-9.93520000e-06,-2.90000000e-02
-9.93504000e-06,-3.10000000e-02
-9.93488000e-06,-3.10000000e-02
-9.93472000e-06,-3.10000000e-02
-9.93456000e-06,-3.10000000e-02
-9.93440000e-06,-3.10000000e-02
-9.93424000e-06,-3.10000000e-02
-9.93408000e-06,-3.10000000e-02
-9.93392000e-06,-3.10000000e-02
-9.93376000e-06,-3.10000000e-02
-9.93360000e-06,-3.10000000e-02
-9.93344000e-06,-3.30000000e-02
-9.93328000e-06,-3.30000000e-02
-9.93312000e-06,-3.30000000e-02
-9.93296000e-06,-3.30000000e-02
-9.93280000e-06,-3.30000000e-02
-9.93264000e-06,-3.30000000e-02
-9.93248000e-06,-3.30000000e-02
-9.93232000e-06,-3.30000000e-02
-9.93216000e-06,-3.30000000e-02
-9.93200000e-06,-3.30000000e-02
-9.93184000e-06,-3.30000000e-02
-9.93168000e-06,-3.30000000e-02
-9.93152000e-06,-3.30000000e-02
-9.93136000e-06,-3.30000000e-02
-9.93120000e-06,-3.30000000e-02
-9.93104000e-06,-3.30000000e-02
-9.93088000e-06,-3.30000000e-02
-9.93072000e-06,-3.30000000e-02
-9.93056000e-06,-3.30000000e-02
-9.93040000e-06,-3.30000000e-02
-9.93024000e-06,-3.30000000e-02
-9.93008000e-06,-3.30000000e-02
-9.92992000e-06,-3.30000000e-02
-9.92976000e-06,-3.30000000e-02
-9.92960000e-06,-3.30000000e-02
-9.92944000e-06,-3.30000000e-02
-9.92928000e-06,-3.30000000e-02
-9.92912000e-06,-3.30000000e-02
-9.92896000e-06,-3.30000000e-02
-9.92880000e-06,-3.30000000e-02
-9.92864000e-06,-3.30000000e-02
-9.92848000e-06,-3.30000000e-02
-9.92832000e-06,-3.30000000e-02
-9.92816000e-06,-3.30000000e-02
-9.92800000e-06,-3.30000000e-02
-9.92784000e-06,-3.30000000e-02
-9.92768000e-06,-3.30000000e-02
-9.92752000e-06,-3.10000000e-02
-9.92736000e-06,-3.10000000e-02
-9.92720000e-06,-3.10000000e-02
-9.92704000e-06,-3.10000000e-02
-9.92688000e-06,-3.10000000e-02
-9.92672000e-06,-3.10000000e-02
-9.92656000e-06,-3.10000000e-02
-9.92640000e-06,-3.10000000e-02
-9.92624000e-06,-3.10000000e-02
-9.92608000e-06,-3.10000000e-02
-9.92592000e-06,-3.30000000e-02
-9.92576000e-06,-3.30000000e-02
-9.92560000e-06,-3.30000000e-02
-9.92544000e-06,-3.30000000e-02
-9.92528000e-06,-3.30000000e-02
-9.92512000e-06,-3.30000000e-02
-9.92496000e-06,-3.30000000e-02
-9.92480000e-06,-3.30000000e-02
-9.92464000e-06,-3.30000000e-02
-9.92448000e-06,-3.30000000e-02
-9.92432000e-06,-3.30000000e-02
-9.92416000e-06,-3.30000000e-02
-9.92400000e-06,-3.30000000e-02
-9.92384000e-06,-3.30000000e-02
-9.92368000e-06,-3.30000000e-02
-9.92352000e-06,-3.30000000e-02
-9.92336000e-06,-3.10000000e-02
-9.92320000e-06,-3.10000000e-02
-9.92304000e-06,-3.10000000e-02
-9.92288000e-06,-3.10000000e-02
-9.92272000e-06,-3.10000000e-02
-9.92256000e-06,-3.10000000e-02
-9.92240000e-06,-3.10000000e-02
-9.92224000e-06,-3.10000000e-02
-9.92208000e-06,-3.10000000e-02
-9.92192000e-06,-2.90000000e-02
-9.92176000e-06,-2.90000000e-02
-9.92160000e-06,-2.90000000e-02
-9.92144000e-06,-2.90000000e-02
-9.92128000e-06,-2.90000000e-02
-9.92112000e-06,-3.10000000e-02
-9.92096000e-06,-3.10000000e-02
-9.92080000e-06,-3.10000000e-02
-9.92064000e-06,-3.10000000e-02
-9.92048000e-06,-3.10000000e-02
-9.92032000e-06,-2.90000000e-02
-9.92016000e-06,-2.90000000e-02
-9.92000000e-06,-2.90000000e-02
-9.91984000e-06,-2.90000000e-02
-9.91968000e-06,-2.90000000e-02
-9.91952000e-06,-2.90000000e-02
-9.91936000e-06,-2.90000000e-02
-9.91920000e-06,-2.90000000e-02
-9.91904000e-06,-2.90000000e-02
-9.91888000e-06,-2.90000000e-02
-9.91872000e-06,-2.90000000e-02
-9.91856000e-06,-2.90000000e-02
-9.91840000e-06,-2.70000000e-02
-9.91824000e-06,-2.70000000e-02
-9.91808000e-06,-2.70000000e-02
-9.91792000e-06,-2.50000000e-02
-9.91776000e-06,-2.50000000e-02
-9.91760000e-06,-2.50000000e-02
-9.91744000e-06,-2.50000000e-02
-9.91728000e-06,-2.30000000e-02
-9.91712000e-06,-2.30000000e-02
-9.91696000e-06,-2.30000000e-02
-9.91680000e-06,-2.30000000e-02
-9.91664000e-06,-2.30000000e-02
-9.91648000e-06,-2.30000000e-02
-9.91632000e-06,-2.30000000e-02
-9.91616000e-06,-2.30000000e-02
-9.91600000e-06,-2.30000000e-02
-9.91584000e-06,-2.30000000e-02
-9.91568000e-06,-2.30000000e-02
-9.91552000e-06,-2.30000000e-02
-9.91536000e-06,-2.10000000e-02
-9.91520000e-06,-2.10000000e-02
-9.91504000e-06,-2.10000000e-02
-9.91488000e-06,-2.30000000e-02
-9.91472000e-06,-2.30000000e-02
-9.91456000e-06,-2.30000000e-02
-9.91440000e-06,-2.30000000e-02
-9.91424000e-06,-2.30000000e-02
-9.91408000e-06,-2.10000000e-02
-9.91392000e-06,-2.10000000e-02
-9.91376000e-06,-1.90000000e-02
-9.91360000e-06,-1.90000000e-02
-9.91344000e-06,-1.90000000e-02
-9.91328000e-06,-1.70000000e-02
-9.91312000e-06,-1.70000000e-02
-9.91296000e-06,-1.70000000e-02
-9.91280000e-06,-1.70000000e-02
-9.91264000e-06,-1.70000000e-02
-9.91248000e-06,-1.70000000e-02
-9.91232000e-06,-1.70000000e-02
-9.91216000e-06,-1.70000000e-02
-9.91200000e-06,-1.70000000e-02
-9.91184000e-06,-1.70000000e-02
-9.91168000e-06,-1.70000000e-02
-9.91152000e-06,-1.70000000e-02
-9.91136000e-06,-1.70000000e-02
-9.91120000e-06,-1.70000000e-02
-9.91104000e-06,-1.70000000e-02
-9.91088000e-06,-1.70000000e-02
-9.91072000e-06,-1.70000000e-02
-9.91056000e-06,-1.70000000e-02
-9.91040000e-06,-1.70000000e-02
-9.91024000e-06,-1.70000000e-02
-9.91008000e-06,-1.70000000e-02
-9.90992000e-06,-1.50000000e-02
-9.90976000e-06,-1.50000000e-02
-9.90960000e-06,-1.50000000e-02
-9.90944000e-06,-1.50000000e-02
-9.90928000e-06,-1.50000000e-02
-9.90912000e-06,-1.30000000e-02
-9.90896000e-06,-1.30000000e-02
-9.90880000e-06,-1.30000000e-02
-9.90864000e-06,-1.30000000e-02
-9.90848000e-06,-1.30000000e-02
-9.90832000e-06,-1.30000000e-02
-9.90816000e-06,-1.30000000e-02
-9.90800000e-06,-1.30000000e-02
-9.90784000e-06,-1.30000000e-02
-9.90768000e-06,-1.30000000e-02
-9.90752000e-06,-1.30000000e-02
-9.90736000e-06,-1.30000000e-02
-9.90720000e-06,-1.30000000e-02
-9.90704000e-06,-1.30000000e-02
-9.90688000e-06,-1.30000000e-02
-9.90672000e-06,-1.30000000e-02
-9.90656000e-06,-1.30000000e-02
-9.90640000e-06,-1.30000000e-02
-9.90624000e-06,-1.30000000e-02
-9.90608000e-06,-1.30000000e-02
-9.90592000e-06,-1.50000000e-02
-9.90576000e-06,-1.50000000e-02
-9.90560000e-06,-1.50000000e-02
-9.90544000e-06,-1.50000000e-02
-9.90528000e-06,-1.50000000e-02
-9.90512000e-06,-1.50000000e-02
-9.90496000e-06,-1.50000000e-02
-9.90480000e-06,-1.50000000e-02
-9.90464000e-06,-1.50000000e-02
-9.90448000e-06,-1.50000000e-02
-9.90432000e-06,-1.50000000e-02
-9.90416000e-06,-1.50000000e-02
-9.90400000e-06,-1.50000000e-02
-9.90384000e-06,-1.50000000e-02
-9.90368000e-06,-1.50000000e-02
-9.90352000e-06,-1.50000000e-02
-9.90336000e-06,-1.50000000e-02
-9.90320000e-06,-1.50000000e-02
-9.90304000e-06,-1.50000000e-02
-9.90288000e-06,-1.70000000e-02
-9.90272000e-06,-1.70000000e-02
-9.90256000e-06,-1.70000000e-02
-9.90240000e-06,-1.70000000e-02
-9.90224000e-06,-1.70000000e-02
-9.90208000e-06,-1.70000000e-02
-9.90192000e-06,-1.90000000e-02
-9.90176000e-06,-1.90000000e-02
-9.90160000e-06,-1.90000000e-02
-9.90144000e-06,-1.90000000e-02
-9.90128000e-06,-1.90000000e-02
-9.90112000e-06,-1.90000000e-02
-9.90096000e-06,-1.90000000e-02
-9.90080000e-06,-1.90000000e-02
-9.90064000e-06,-1.90000000e-02
-9.90048000e-06,-1.90000000e-02
-9.90032000e-06,-1.90000000e-02
-9.90016000e-06,-1.90000000e-02
-9.90000000e-06,-1.90000000e-02
-9.89984000e-06,-1.90000000e-02
-9.89968000e-06,-1.90000000e-02
-9.89952000e-06,-1.90000000e-02
-9.89936000e-06,-2.10000000e-02
-9.89920000e-06,-2.10000000e-02
-9.89904000e-06,-2.10000000e-02
-9.89888000e-06,-2.10000000e-02
-9.89872000e-06,-2.30000000e-02
-9.89856000e-06,-2.30000000e-02
-9.89840000e-06,-2.30000000e-02
-9.89824000e-06,-2.30000000e-02
-9.89808000e-06,-2.10000000e-02
-9.89792000e-06,-2.10000000e-02
-9.89776000e-06,-2.10000000e-02
-9.89760000e-06,-2.10000000e-02
-9.89744000e-06,-1.90000000e-02
-9.89728000e-06,-1.90000000e-02
-9.89712000e-06,-2.10000000e-02
-9.89696000e-06,-2.10000000e-02
-9.89680000e-06,-2.10000000e-02
-9.89664000e-06,-2.10000000e-02
-9.89648000e-06,-2.10000000e-02
-9.89632000e-06,-2.30000000e-02
-9.89616000e-06,-2.30000000e-02
-9.89600000e-06,-2.30000000e-02
-9.89584000e-06,-2.30000000e-02
-9.89568000e-06,-2.50000000e-02
-9.89552000e-06,-2.50000000e-02
-9.89536000e-06,-2.50000000e-02
-9.89520000e-06,-2.50000000e-02
-9.89504000e-06,-2.70000000e-02
-9.89488000e-06,-2.70000000e-02
-9.89472000e-06,-2.70000000e-02
-9.89456000e-06,-2.70000000e-02
-9.89440000e-06,-2.70000000e-02
-9.89424000e-06,-2.70000000e-02
-9.89408000e-06,-2.70000000e-02
-9.89392000e-06,-2.50000000e-02
-9.89376000e-06,-2.50000000e-02
-9.89360000e-06,-2.70000000e-02
-9.89344000e-06,-2.70000000e-02
-9.89328000e-06,-2.70000000e-02
-9.89312000e-06,-2.50000000e-02
-9.89296000e-06,-2.50000000e-02
-9.89280000e-06,-2.50000000e-02
-9.89264000e-06,-2.50000000e-02
-9.89248000e-06,-2.50000000e-02
